x,y
-45.0,-45.0
-43.67817701860097,-43.49907228493662
-43.318551205419446,-41.53167062932749
-41.6417869461516,-40.44150476174498
-39.73035793558653,-39.852913955182174
-40.106260617188916,-37.88855727322135
-38.49994009606612,-36.69703119989363
-37.117453436092205,-35.25178705616076
-35.805352930337875,-33.7423526379765
-33.83910949185389,-33.376447266850754
-32.79539411580492,-31.670382140954633
-30.849412540132366,-32.13207003027271
-29.125368695506268,-31.11832804051059
-28.009869237802285,-29.458309679207886
-28.377566999911796,-27.492400638651926
-27.679149395756447,-25.618310766152234
-28.060157680884746,-23.654937982734985
-26.648621036475742,-22.238052559882956
-25.756183265037617,-20.448204850129258
-24.25305414581014,-19.128885764035818
-23.699795257975563,-17.20693243394894
-21.862659749396858,-16.416405316691556
-22.66480735938637,-14.584313831042405
-22.214316730627772,-12.63570966564588
-22.98557102784808,-10.790400258251227
-22.884675028844722,-8.792946880225818
-21.24377424525566,-7.64951143455483
-19.760459800234266,-6.307953289265974
-18.510102757043164,-4.746989720010622
-18.846136529362898,-2.775421485365782
-17.01467358783042,-1.9718398194517335
-15.01735614067494,-1.8682878262873377
-13.35795422965417,-0.7518715519072927
-12.091364241050535,0.7959494328222216
-11.299676872930107,2.6325852462481034
-9.811424888464273,3.968663848252308
-10.381151910833808,5.885800024944497
-8.458632865165347,6.437089893382174
-6.762915175951285,7.4975339128789695
-5.100773168745372,6.385201252259181
-3.4648713265475832,5.234625238823353
-1.7777258658060011,4.160595353625053
0.13843993384285347,4.733577576958435
1.5502757388090012,3.316990248264722
2.664977270525123,1.656435974779591
4.431117074117054,0.7179530531618057
5.877348236654635,2.0994071510257917
7.877347718423496,2.097967385668126
8.941442243550172,3.7913966996920188
9.40798000026552,5.7362212474492225
11.391698523860033,5.990899120748041
12.523973193239689,7.6395209916090305
13.351300223789837,9.460380674429505
14.969051449700963,10.636340270275829
15.34098664897473,12.601452024742018
15.068257301423897,14.582769440752006
13.636211324620207,15.978922842180506
13.483155464553091,17.973057718185416
12.784528294046536,19.84706947818854
14.140420313427944,21.31729287338323
15.36158479897413,22.90119858372104
14.667093156738188,24.77674686592132
14.371237657756021,26.754743206595897
15.330688304677377,28.50958065095426
17.04165417244629,27.473918640774404
18.760403990874494,28.49661070667353
20.71744174756821,28.084296240670668
22.510810570088353,28.96963700354828
24.48331852713282,28.639164070622968
25.116626003297746,30.53624647279574
26.661426237669257,31.80651897737329
