node_id,x,y,parent_id
0,0.0,0.0,-1
1,4.5770789303781347e-2,-4.999790499095588,0
2,-0.15835323563288028,1.8255131407251781,0
3,2.4748971624125202,6.075923984537074,2
4,4.753402357287314,10.526588437956201,3
5,4.300237508655211,-7.626482893330413,1
6,5.570196835982427,15.459421982641565,4
7,-4.309179065302642,-7.4562944709758465,1
8,8.313318293625974,-10.608962166233823,5
9,12.724448718093296,-8.254832097962584,8
10,9.286382091207228,-4.624446736999886,9
11,-1.972389067335083,8.361015928135263,3
12,-9.16297556239179,-6.2560196837520525,7
13,10.509815050915137,16.23412959891043,6
14,9.035389948453025,7.945003213892724,4
15,-14.160037832897615,-6.427392565758418,12
16,-18.488184370986612,-3.9239654058777402,15
17,15.509658426905215,16.194554157432922,13
18,17.720352099498253,-8.457191687966427,9
19,2.872993892418698,18.665595371964812,6
20,-21.032109964540993,-8.228433151657583,16
21,7.8752297111788145,-15.58973302965742,8
22,-24.767535682360396,-11.552074935402246,20
23,-29.735709577431784,-10.988827078476708,22
24,-24.693902631414506,-16.551532723383698,22
25,-22.635692575775018,-21.108260866126525,24
