t,x,y,theta,v,w,a,gamma
0.0,-30.0,-35.0,-0.7853981633974483,0.0,0.0,-0.16733498554751947,0.5234785746437295
1.2296830932777556,-30.104676246728474,-34.93030608417032,-0.3894127956081983,-0.20582203222344833,0.6438786468117891,-1.0650156192881366,-0.6240987867732977
3.111478179207621,-32.367773287112115,-34.615302124768746,-0.28715379125036467,-2.2187015526780227,-0.5356680601897429,-0.6982687001970982,0.15912220080251338
6.084158490220761,-38.226129463748265,-27.245347207461663,-1.1769102146124792,-4.299542279265402,-6.148390179825259e-2,-4.139717007981458e-2,0.18706415241168006
8.067121731871516,-42.02264518384439,-19.51470579456237,-0.9288668042082544,-4.381922647724212,0.3107737615009917,0.9170016748923918,1.3460464849219647
9.599170883322465,-46.59949658709429,-18.348481632058277,1.145866710323739,-2.9697400683899438,2.3836853482808196,1.6231826803228095,9.390439200225753e-2
10.080065994273907,-46.44336335189113,-19.527329906816476,2.3251457532412094,-2.1743805550317723,2.4296985003619236,-1.7727975802069427,1.31618338716032
10.5477664280106,-45.32263170481085,-19.71074679899856,3.61247650352317,-3.0075954177290454,3.0483046923272683,0.18502533999003112,-0.6154816392368626
13.836571838084025,-44.02199375923295,-19.6727710267547,10.310381535647952,-2.3988620491618455,1.0233700992379646,0.5138950150390804,-1.1360147987672184
15.171236968911659,-43.08883454210536,-17.107877016353257,10.661783382293619,-1.7102427290094653,-0.49888973111010765,-0.2479257040627294,0.3606570270915118
18.43084669805439,-39.83465960888295,-11.147106160016614,10.95186216943354,-2.518480524253934,0.6768521772082206,1.9329269952424069,-0.154340363623495
21.146405580650224,-38.4995731194304,-10.485276157609354,12.221964218323865,2.73908090280541,0.2570463881523135,1.723834388139426,-0.3294703675173629
21.308789310357334,-38.03454408025818,-10.641353191692694,12.260901257499132,3.0321327487891137,0.2010364256743619,-1.9922308793416725,-0.8528894528058233
23.501204466329337,-35.893480940399044,-11.01774492418763,10.639188918192636,-1.3507751857625783,-1.6753203704984458,-0.3726123841636375,-1.3051986819161705
24.03656955765334,-35.317162489786575,-10.545581898284398,9.544217950300098,-1.5519858732109437,-2.380127658733181,1.0853516127991423,1.2025029177577604
26.621731515177284,-34.26177823905301,-10.613616038535346,7.412942225486583,1.25907480393884,0.7343548982594239,-0.27847804618200067,-5.412805264189813e-2
27.195689998824516,-34.1032141592194,-9.953912145442107,7.829763728022681,1.0975575371532824,0.7029606277271221,-0.5131893606285916,-1.0901726295530905
27.368858873841756,-34.10933500917109,-9.764858248233649,7.9386358444148035,1.005183452240137,0.5067295544075663,0.5140978170330803,-1.1250130880653062
28.922179211638184,-34.10369395935016,-7.617499754511817,7.3602180237327435,1.8071760468117541,-1.2482908629743106,0.3489995250102683,0.750885150896878
30.4704192230312,-31.251173240148404,-6.4624288931471705,6.327367973637433,2.3481253105776836,-8.441887908415299e-2,-0.9621836678343136,1.0698446004130195
30.944371831739264,-30.237282985380237,-6.397962409234473,6.41009300964462,1.8862771500172122,0.42910652911409597,0.14634267811648527,1.5096371118137615
32.84133841837793,-29.793582530631966,-4.350716953142829,9.950290401785246,2.1643282384385327,3.2974170415602537,9.478466793732165e-2,-1.3735725109447063
35.21451348492601,-27.315520578323405,-3.5387209641921413,13.907910895201033,2.3899157481293805,2.8314465511844383e-2,-1.1092872636414173,-0.6614034721166315
38.351406883791284,-26.393575820803875,-0.8603274621197321,10.736231480067657,-1.093246259704666,-2.048492436934372,1.5675168416311087,0.3008830516073896
40.29345329833889,-26.261199715424876,0.5031943619060069,7.313725129914172,1.963411581475993,-1.4617704862999752,-0.6174754470762354,0.8760957563003513
42.34074246318152,-23.794041498046404,1.0873614217412975,6.157991840925329,0.6975869149696995,0.3342258141157422,1.9287402910801292,-1.462107913280343
44.37182027306405,-21.840945314045122,-2.472489506336364,3.7974583557677075,4.632217108773166,-2.648474328976155,-0.46099141638449304,0.7684006690607763
47.398291185790626,-18.995582261107415,0.35499400409169635,-0.7001140097399586,3.2354131171280924,-0.32022030172198035,-0.3129661374981363,0.6460237123711596
50.20125773074927,-12.511256072411719,-2.127342245057528,0.9506008600482335,2.3559782707583232,1.4951063300409833,-0.8302200291173198,0.6507424324448432
51.000751134616394,-12.520770706399398,-0.6361854652971582,2.3549235024633726,1.6918022474644738,2.015700275996864,-0.6244982188253498,-1.3934054376940894
52.36617724854178,-14.084897153461107,-0.7634482173124756,3.8087915475750624,0.8362396876737397,0.10673482635596682,-0.8853590510929878,-0.6100894229445322
54.494334955836656,-13.797950054396782,-1.058351724240592,2.6521793762347454,-1.0495750911543296,-1.1927556445158924,-1.3870689702356183,-0.7742217979735155
55.53880719236689,-13.474221400121857,-2.686459651629767,0.9729961833601627,-2.505997509901735,-2.0056885323880747,1.9057644293947908,-0.6084201808195666
56.741423097027365,-14.74244657654907,-2.765297590310573,-1.899280934198357,-0.20002255033403538,-2.741876951179726,-0.17085633512299037,1.2442604745383976
60.672489561569336,-13.995946584387648,-4.277770226380104,-3.044575170574308,-0.873196510718627,2.1605093185015773,1.760601691605022,-1.914665416254957e-2
62.523872015968806,-12.520212047040367,-4.178507202167747,0.9408522794682664,2.401522635666708,2.124896541759256,-0.5035512639841451,-0.4916085590863144
65.78615764848354,-14.454336160522745,-4.282837304710644,5.260903390293994,0.7549100024385583,0.5173365535470039,0.1745461506050554,-0.12979985348726686
67.39120883252356,-13.32242019231074,-5.132985858780654,5.925588141392497,1.0359293049127039,0.3083587894325043,-0.5127749419630572,-0.27577935624071337
69.82075605750721,-12.348316464130601,-5.369326163096882,5.86067523938059,-0.21011380405752492,-0.3617850462324284,1.8583538449498072,0.531529247995949
71.52510523036251,-10.225768177148787,-6.374841458024081,6.019145147355614,2.9676712708066395,0.5471299678406446,-1.0177297474323659,0.44250397545412523
71.65256818241271,-9.858376917873281,-6.459901180019167,6.094011201767485,2.835366403640434,0.6046554846496806,1.5100382583523846,1.4139680603487639
72.2585053930901,-7.8912034354361,-6.267577555576844,6.725919805031678,3.7564897412353897,1.4671760014624298,-0.36619842041731365,-1.3793457891570502
74.82466172273853,-2.672129520826823,-0.4440742880907635,5.941341627388413,2.815359800762938,-2.0777426766711997,-0.11401611082752794,0.33478958428719796
77.6597214768074,-5.127902433555447,-0.9936337250812858,1.39069186115559,2.4915540460128143,-1.1269402572955827,1.8588885027828281,1.0329564980926502
78.17147466436414,-4.476096438482919,0.39535901494971404,0.9443386459040133,3.45817606745988,-0.5898028782874036,0.6412663799221634,1.2792481965015563
80.9069689609311,-5.1993688170167145,7.235135621131247,4.130320639424076,5.215245948446642,2.915337180126867,-1.7342650074358499,-1.4138177557373295
83.95253631816787,-0.4793107655489539,6.16235524026552,6.446079202437783,-7.42623242326789e-2,-1.396806974871981,0.4777672470086931,1.3798779222119761
84.37600076206262,-0.46754180640605497,6.157755654278843,5.973021917151328,0.13117759198105905,-0.8034594683208324,-1.146126018354293,0.7583656980266991
85.55304904760987,-0.9608344023544358,6.569119735392351,5.552913943498934,-1.2212511096770033,9.14120553506714e-2,-0.6008110444365884,-0.3113773130308508
86.06018736533161,-1.4876674559428686,7.031510410171261,5.559039472168115,-1.5276647423396637,-6.739037429506255e-2,2.532155584331619e-2,1.2466925308600167
86.5115138725446,-2.0247523169924286,7.480000017496454,5.65993996975738,-1.5160168266517382,0.506088189900545,0.5864086492839462,-0.6263443911466364
89.44772549659098,-3.6970070586439543,8.43134238756645,4.440904058407445,0.20802460224305816,-1.3353643200705694,1.7581833383440246,-1.118987472792397
89.69399123561496,-3.7462948265027807,8.337058792956707,4.0720946198650445,0.6475704368290643,-1.615111188268669,0.49779205472255306,-0.953634694888791
91.58599761593635,-3.756790799991626,8.954868599015873,-0.7179272621197051,1.593375340801922,-3.42701710855739,0.13071707469183014,1.3067055170619457
93.93094232706571,-4.847737212674057,10.17883056645677,-5.163276858242245,1.9005604663277293,-0.356259143461797,-1.441523877576877,-3.0841268598566174e-2
96.31689499584975,-4.9113849013494075,10.930240507395604,-6.102820416296868,-1.5446816010810087,-0.4299697754123643,-6.583302101151789e-2,-0.18601735607172132
98.3635146540196,-7.754950107648179,12.125571096167105,-7.375127425337919,-1.6796392941545994,-0.8113053553593934,-0.26759279535137237,1.0562268570646518
100.39964434049811,-9.243584113452123,15.703644476842538,-6.832393506090949,-2.225528596671394,1.3433974330525018,1.2821941807860533,0.7312501799716831
101.6143174922088,-10.679238611193494,15.361545129083733,-4.649252253831969,-0.6612516961124093,2.2355226526179535,-1.327269166937635,-0.4700808449705588
102.3275789637842,-10.074234367253505,14.915633999032222,-3.161520898963411,-1.6168854963075094,1.8970644442391538,1.0262016521743993,-1.4838525932884625
104.20968227622345,-9.17208462873538,15.611346461795268,-2.2263040235942806,0.3226356263021015,-0.907416957076044,-0.8893963060262577,1.0568985338981278
105.64334501863529,-8.78269306728589,15.853713316061386,-2.4371920418382027,-0.9580950543757097,0.6145169317372615,-0.33531666048531017,-1.3567020451539458e-2
105.89537496258981,-8.598710149119412,16.037656802578926,-2.2778762048777756,-1.0452773861018911,0.6109895064198602,-0.2620585071199333,0.15782119708652276
107.88745296095014,-8.74154087173586,18.397845237619,-0.7402547978649958,-1.5693944003417577,0.9266319005929148,-1.3238815833597188,-1.2767047022293116
108.48197241587116,-9.756476773939951,18.989522935172158,-0.41408250391052354,-2.363723350357584,0.16060907925532641,1.3230902863720506,0.14564091846809224
110.51811958069143,-11.731147893403602,19.576767148362276,0.2166096409187501,0.3353808338413967,0.45771655293023594,-0.9143613771222889,-1.3434597829631905
112.32827548595047,-12.466205899253632,19.975541366561476,-1.1753843252918579,-1.3287568725211671,-1.987380252062774,0.9799075753791114,0.8170237470231267
115.52765668256913,-13.72950773999553,21.307878078436083,-3.3518395471343254,1.8069473686919937,0.6270957384112317,1.327123044879829,-0.3266880339599083
116.31430620854115,-15.559294047670951,21.274387750684628,-2.958376914786642,2.855374574147059,0.3690121915829029,-1.0432238364364332,-1.3067341441498792e-2
120.30768238905351,-18.755446030499932,20.232685318965146,-1.5868668799870018,-1.3175207715986763,0.31674282581691393,0.972684981130702,0.9156418159135749
120.76079401959193,-18.795949070040468,20.732996289782395,-1.3442902759875652,-0.8700856802785542,0.7379380611371574,-0.6973834725089523,0.4771800136909211
121.5511005893002,-19.305160132004783,21.47303249870964,-0.6012422226967431,-1.427992458285721,1.1196820720898977,0.8327576754833262,-9.424197118213051e-2
124.96483968621574,-21.097738131133866,22.38116449612459,2.6769245679833773,1.4200387918672535,0.7973745306470144,-1.2802052529915633,-0.5264637473142364
126.2982780043558,-21.823364726316935,22.55827259716036,3.2727472867116574,-0.2954362471414434,9.19131092459393e-2,-0.4248233257713001,-1.2240432655155025
128.1151161944737,-20.975195737726413,21.94338347417365,1.4127686891924904,-1.0686147000452035,-2.1358456339922802,-1.6802142544000969,1.543879116598868
128.52283281752722,-21.287206963657116,21.470662507678107,0.6668350190057908,-1.7575025443492458,-1.50285519618674,-0.10585862596062601,-0.3615846890770835
129.1201249322688,-22.300538510324532,21.274148767054175,-0.29996334274012715,-1.8210177199256177,-1.7198060096329861,1.9755585802603024,0.1841137643742794
129.52726439981166,-22.765874224921948,21.6023400823519,-0.9896090447939931,-1.0110387020188922,-1.6443193662395301,0.7322906366384371,1.2122736287989202
130.79886695800124,-22.778961631815775,22.26089559864962,-2.1012432768685154,-7.370668712169476e-2,-9.260912137691117e-2,1.1927931909605114,-0.21598115862927258
131.21306502988355,-22.819020952682273,22.19838770527743,-2.15918864603792,0.42726645308172007,-0.18332120800120544,-1.1879318446363918e-3,-0.41705697416751697
134.5887336839521,-23.76566223182247,22.23827106564752,-5.161127176921691,0.42325124344684606,-1.5929737806874158,-1.2959339676876054,0.3274895127909495
135.05275518335276,-23.73765013148801,22.28802814066723,-5.873653637157015,-0.18583772136632892,-1.439053709675666,-0.20958342230351157,0.9287945388659496
137.82937392362797,-24.900751206508314,22.833951408475734,-6.285175092969572,-0.7684796353700963,1.1429951083716707,-0.9259383017523688,-1.4846201228871116
138.47855515913912,-25.56289656738257,22.6397526963258,-5.855854273487888,-1.3703395315091333,0.17799202849504822,0.9104184979140869,0.2754255948191071
142.23179123141364,-27.7049611279738,23.65426676690803,-3.2396758016891933,2.05283402064784,1.2135922650148943,-1.1181702235528066,-0.29606364149104514
146.85246403179585,-32.05039162195842,25.969594514539132,-0.7940869528098862,-3.1242941144016507,-0.15718239508863316,0.0,0.0
