node_id,x,y,theta,v,w,parent_id
0,40.0,-40.0,0.0,0.0,0.0,-1
1,35.794741456452655,-36.44354938953007,-1.4040023752981028,-3.470889197491122,-0.8139144204626684,0
2,39.772850656128966,-40.11658835925828,0.9484102556428643,-0.46517351714528293,1.6638776414787075,0
3,37.86735836774607,-35.39990294450034,-6.99469421305271,-2.304472088500537,-2.7244981350782087,1
4,35.85565033365756,-34.923957665800295,-1.8421065683027396,-4.007765423604274,-1.323179203950194,1
5,41.62100246021639,-38.39425675038703,-4.721846866558803,-3.3498764712253575,-2.0664537709228785,0
6,38.77386965833034,-33.13434149878335,-9.11938643223319,-4.025147994877381,-1.8447324438045507,3
7,36.7363089802587,-33.500329153574185,-2.4097681959016386,-4.693254243910643,-1.5879060657877437,4
8,41.22582786624934,-39.38435475694106,0.9308570557151983,1.8006924285654975,1.1783000705255657,0
9,37.52933035326432,-32.99843947123418,-2.753530363640033,-4.288928560348265,-1.6860193412445788,7
10,38.57858793574366,-40.07239837373891,-6.53145177025259,-1.9264691256086843,-0.2990428352127892,5
11,41.627311932430715,-38.31344086564846,1.423290873942155,2.728982327080345,0.7528129421291649,8
12,38.066354546056424,-32.809258186423364,-2.9116122946148106,-5.079045813699718,-1.6497977968778796,7
13,41.49378034728061,-38.61450868502764,1.58179224612003,1.3901054306289256,1.3252968156468634,8
14,37.72661480844158,-34.17407037242633,-8.433886154346252,-2.5064012710304038,-2.4154730838272993,3
15,35.430929093208135,-40.15096600315899,-5.591006324076349,-2.8792971456859617,1.6719558953240905,10
16,40.001866825252684,-40.44103768635828,4.599312923507929,1.686442061737209e-2,1.11247419720195,2
17,37.207254222918166,-34.24372125021606,-4.083533188284068,-0.5269891691905597,-2.4738534482317602,1
18,41.650167855689936,-41.61175105348863,5.914901543822279,1.8883388668826486,8.351545762927738e-2,16
19,35.148713254744756,-40.45259267701397,-5.331496843867092,-2.6437349015147937,1.7881705074659955,15
20,41.47632284459531,-39.04022520249914,-5.149205458526236,-3.0028185473635793,-2.003628057338393,5
21,41.91426422234869,-34.06431411954761,1.051664731156744,2.628469499363563,-1.2144603244712897,11
22,42.281492851376015,-41.83928307755733,5.967001495598689,1.9468172458933355,0.2141985525216357,18
23,40.6456365789194,-39.887851924370054,-5.848556039455178,-3.49308365187641,-2.0306704941548497,5
24,38.35060353996185,-32.77621744122383,-3.036472950863745,-4.299426234237116,-1.5456177090227892,7
25,41.91945350161773,-41.713567422552565,5.928967575584089,1.7103305240562856,9.230993939334532e-2,18
26,37.50589331000029,-39.705357487056816,-6.688862577469273,-2.5241870599892438,-0.31825444798988684,10
27,33.41977346553803,-32.55029555438675,3.174607700729039,-3.1411905562193927,3.6666309787350206,1
28,39.82815210632206,-33.32746899645446,-3.8651309628324046,-4.990835016334574,-2.5702732683001477,7
29,37.463740748650906,-33.68932255926339,-3.626318509394675,-0.6307257593803275,-1.5885895082903654,1
30,34.13741610446145,-31.550479292754765,5.0980652329634415,-2.6274712321355094,4.027199150202589,27
31,39.63570778710905,-32.946498587609334,-3.5119589310753274,-3.8794909138855562,-1.4261696672996005,24
