x,y
23.0,49.0
23.244568930153637,48.03036809128231
22.619306418219875,47.24995359169233
22.640496324076718,46.25017812295459
22.675180028878014,45.25077978364175
22.45589440232627,44.27511907725463
21.94558276106043,43.41512952569684
22.104962866886254,42.4279122335737
21.49088501647214,41.63866677515738
20.674904853701797,41.0605868724058
19.67580276212482,41.01821930690441
19.321435126567014,40.08311312102541
18.62865949219804,39.36195993312102
18.09495518133936,38.51628877447195
17.506273711076986,37.70792367962326
17.806866166404983,36.75417099899799
17.26892979136527,35.91118555641364
17.189352444949282,34.914356862034616
17.210786837993727,33.91458660502813
16.98097587946517,32.94135131829619
16.233443671282586,32.27712575590818
15.607795141316869,31.497020688015567
15.707549013146123,30.50200854484591
15.94267727963798,29.53004419452408
15.027143989672904,29.127801985195266
14.057991501005615,28.881340114493124
13.56213952094793,28.012933059090606
12.95896084591823,27.21532696207942
12.730678316097357,26.241732032666484
12.938314769226091,25.26352596882711
13.406904264302806,24.38010993710494
14.287403053608392,23.90606154080832
14.113151782583614,22.92136031985536
13.89103600968551,21.946340020871858
13.6731812980337,20.970358809674067
13.264397835797539,20.057727404887768
13.514455479670975,19.089496453750353
13.560636088128831,18.090563347179916
14.012208960983138,17.198329106354052
13.809304561275487,16.219130554180246
12.959754018704933,15.69162332615576
12.123457480982617,15.143345931953093
11.997250001799621,14.15134206492521
10.99897369394928,14.092652941702154
10.582139757975096,13.183670285200794
9.587679542295954,13.078556635129097
8.606817802512603,12.883851094814554
7.7586939379206825,12.354053104718645
6.7595845979656035,12.396249393827125
5.799907173406768,12.11514578162671
4.911553162323626,11.65598660335354
4.060806293021078,11.130410952878831
3.060915271111135,11.115648016047347
2.0610518709931602,11.132176207252765
1.1499631686443652,11.54438656186845
0.17843294212312188,11.307470925078512
-0.7157740748736584,10.85981725229818
-1.56044306237425,11.395106241120784
-2.442224134706013,10.923447317238868
-3.4421351525773614,10.936787344955622
-4.43714354412248,11.036578630921861
-5.075272060658396,10.266648766334395
-5.962575675455934,9.80546301724058
-6.960088421639144,9.875949336494969
-7.625382814368392,9.129368214979683
-8.368641993353929,9.798371797073042
-9.260417228356424,10.250850448764195
-10.100117005554802,9.707799544913557
-10.901380143018182,9.109487431930424
-11.888943560818205,8.952266263434774
-12.851938869060547,9.221784419229964
-13.274388782122893,8.315398148949122
-14.049655447563694,7.683764079684093
-15.018904434358877,7.437681976319157
-15.833383534199974,6.857489080876584
-15.789671387901945,5.858444913551625
-15.926762804431045,4.867886513701295
-16.033821855884863,3.873633849887007
-16.17187475116463,2.8832089925127216
-16.9495229945195,2.254509374565421
-17.519459734499343,1.4328208006999028
-18.331004974055425,0.8485312114088875
-18.477858244275573,-0.14062707573511057
-19.249216851833125,-0.7770278131222346
-18.781344735215253,-1.660823990128852
-18.299947300675623,-2.5373264202559227
-17.77236717461578,-3.386831694275268
-17.96278175237702,-4.368535462514959
-18.527558181843315,-5.193779417184912
-18.978644333527317,-6.086259828039355
-19.655149964242476,-6.822697287441499
-20.601019874254487,-7.14724329856145
-21.02955717558242,-8.050767388650128
-21.13636650986642,-9.045046909765698
-21.707205476945436,-9.866108949848032
-22.705408656604614,-9.806188902131858
-23.04888913502069,-10.74534871864184
-23.256562670362477,-11.723546910583861
-24.01051415056012,-12.380477017602702
-24.632963174426944,-13.163137360719203
-25.459679039039372,-13.72575701839046
-25.903366361153545,-14.62193867419198
-25.35027196603676,-15.455057267244854
-24.5911739773995,-16.10603364442521
-23.71316702105466,-16.584681515631246
-22.91854948826843,-17.191791865229014
-21.925850758340864,-17.071171669572557
-20.931098325492442,-17.173482946283112
-20.445854001993453,-18.047861552215352
-20.529290643356365,-19.04437463636331
-19.74505759631402,-19.66484101573183
-20.303281319989242,-20.494531484717808
-19.656054218140312,-21.256828722435635
-18.827171427623636,-21.81625103123757
-17.924685059497744,-22.24696944893867
-17.11860001320507,-22.838769160110736
-16.127525387873867,-22.97207740075854
-15.719325670442785,-23.88497005090377
-14.860484290220198,-24.397211677108984
-14.506056009153486,-25.33229487853017
-13.70869130994834,-25.935792630358204
-12.921310728750427,-26.369161970449184
-12.301730035464956,-27.15409493861137
-11.56341782751495,-26.479635834149143
-10.570213525569793,-26.596019744538996
-10.064708764866724,-25.733195928857874
